Threshold Acuracy Bleaching
208 0.876200 0
208 0.901800 1
208 0.900500 2
56 0.933400 0
56 0.937200 1
56 0.935700 2
47 0.932100 0
47 0.936600 1
47 0.940600 2
71 0.929800 0
71 0.936400 1
71 0.935100 2
147 0.916400 0
147 0.925000 1
147 0.925700 2
50 0.932500 0
50 0.939300 1
50 0.941000 2
74 0.934000 0
74 0.937400 1
74 0.937900 2
207 0.865800 0
207 0.906800 1
207 0.906400 2
136 0.915000 0
136 0.927100 1
136 0.930700 2
222 0.849000 0
222 0.900500 1
222 0.897300 2
111 0.925900 0
111 0.929600 1
111 0.935700 2
106 0.924500 0
106 0.928900 1
106 0.931100 2
34 0.932300 0
34 0.939200 1
34 0.937400 2
125 0.922700 0
125 0.931000 1
125 0.932800 2
225 0.846600 0
225 0.894700 1
225 0.892900 2
91 0.928400 0
91 0.937500 1
91 0.934100 2
252 0.766100 0
252 0.858000 1
252 0.845700 2
98 0.927100 0
98 0.937400 1
98 0.931200 2
224 0.849300 0
224 0.892800 1
224 0.894300 2
57 0.933400 0
57 0.941600 1
57 0.936200 2
27 0.932600 0
27 0.942100 1
27 0.940000 2
172 0.899700 0
172 0.919800 1
172 0.916900 2
8 0.937900 0
8 0.940000 1
8 0.937900 2
16 0.933900 0
16 0.942900 1
16 0.937600 2
124 0.923200 0
124 0.932900 1
124 0.930600 2
213 0.873200 0
213 0.898800 1
213 0.903200 2
130 0.919600 0
130 0.931800 1
130 0.927200 2
113 0.925400 0
113 0.930400 1
113 0.930500 2
26 0.935000 0
26 0.941200 1
26 0.940300 2
194 0.884400 0
194 0.910500 1
194 0.911500 2
144 0.918400 0
144 0.928300 1
144 0.925800 2
108 0.925300 0
108 0.933500 1
108 0.932200 2
127 0.917500 0
127 0.930200 1
127 0.934000 2
6 0.939500 0
6 0.941100 1
6 0.938800 2
200 0.884400 0
200 0.909200 1
200 0.909300 2
182 0.899300 0
182 0.912400 1
182 0.915400 2
148 0.916900 0
148 0.928400 1
148 0.928800 2
249 0.805300 0
249 0.857100 1
249 0.861300 2
102 0.923800 0
102 0.933900 1
102 0.935000 2
141 0.919400 0
141 0.926600 1
141 0.924400 2
179 0.896900 0
179 0.920500 1
179 0.918500 2
146 0.921100 0
146 0.930400 1
146 0.927900 2
226 0.855900 0
226 0.890600 1
226 0.887000 2
3 0.936500 0
3 0.943000 1
3 0.941100 2
204 0.875700 0
204 0.907000 1
204 0.905500 2
155 0.907500 0
155 0.926300 1
155 0.927400 2
101 0.926900 0
101 0.933600 1
101 0.932800 2
223 0.860400 0
223 0.898000 1
223 0.893000 2
70 0.932500 0
70 0.937000 1
70 0.936900 2
206 0.857800 0
206 0.904700 1
206 0.900500 2
21 0.934700 0
21 0.940500 1
21 0.938900 2
237 0.831800 0
237 0.882800 1
237 0.876600 2
90 0.924600 0
90 0.933900 1
90 0.931000 2
38 0.930000 0
38 0.940900 1
38 0.937500 2
149 0.905000 0
149 0.928400 1
149 0.926300 2
202 0.889400 0
202 0.909300 1
202 0.905900 2
163 0.911900 0
163 0.924800 1
163 0.920700 2
159 0.911700 0
159 0.925900 1
159 0.923500 2
75 0.934700 0
75 0.937400 1
75 0.939800 2
30 0.938600 0
30 0.941000 1
30 0.937900 2
104 0.933700 0
104 0.934100 1
104 0.932500 2
168 0.909800 0
168 0.928300 1
168 0.922600 2
199 0.887700 0
199 0.911200 1
199 0.910600 2
131 0.920700 0
131 0.929000 1
131 0.932000 2
145 0.920200 0
145 0.925400 1
145 0.925600 2
183 0.900600 0
183 0.918600 1
183 0.921300 2
86 0.931400 0
86 0.936000 1
86 0.931600 2
63 0.934600 0
63 0.938100 1
63 0.937100 2
36 0.931800 0
36 0.940900 1
36 0.937300 2
196 0.881700 0
196 0.908700 1
196 0.910700 2
60 0.929700 0
60 0.937500 1
60 0.933700 2
189 0.890700 0
189 0.920700 1
189 0.911800 2
126 0.918900 0
126 0.928100 1
126 0.927500 2
150 0.920300 0
150 0.924200 1
150 0.926400 2
205 0.877500 0
205 0.909000 1
205 0.908200 2
246 0.799600 0
246 0.865800 1
246 0.867600 2
53 0.926600 0
53 0.940500 1
53 0.935600 2
235 0.829500 0
235 0.887800 1
235 0.879100 2
240 0.818900 0
240 0.880900 1
240 0.873700 2
59 0.934200 0
59 0.941600 1
59 0.938900 2
14 0.935400 0
14 0.940500 1
14 0.939000 2
32 0.934600 0
32 0.937700 1
32 0.939800 2
169 0.904000 0
169 0.924900 1
169 0.921900 2
184 0.892600 0
184 0.913500 1
184 0.913300 2
177 0.902300 0
177 0.914400 1
177 0.918000 2
191 0.897500 0
191 0.916300 1
191 0.910900 2
250 0.792600 0
250 0.858200 1
250 0.859500 2
81 0.922800 0
81 0.936300 1
